관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
서울특별시 노원구청,서울특별시 노원구 동일로241나길11,서울특별시 노원구 상계동 1113-36,생활방범,1,200.0,회전,30.0,2015-12,02-2116-4917,37.67702931,127.0541971,2019-04-08,3100000,서울특별시 노원구
서울특별시 노원구청,서울특별시 노원구 동일로237가길18,서울특별시 노원구 상계동 1049-34,생활방범,1,200.0,회전,30.0,2015-12,02-2116-4917,37.67472882,127.0542925,2019-04-08,3100000,서울특별시 노원구
서울특별시 노원구청,서울특별시 노원구 동일로241다길8-5,서울특별시 노원구 상계동 1108-12,생활방범,1,200.0,고정,30.0,2015-12,02-2116-4917,37.67691153,127.0524618,2019-04-08,3100000,서울특별시 노원구
서울특별시 노원구청,서울특별시 노원구 동일로239길54,서울특별시 노원구 상계동 1101-32,생활방범,1,200.0,고정,30.0,2015-12,02-2116-4917,37.67522057,127.0518772,2019-04-08,3100000,서울특별시 노원구
서울특별시 노원구청,서울특별시 노원구 동일로237다길59-4,서울특별시 노원구 상계동 1101-17,생활방범,1,200.0,고정,30.0,2015-12,02-2116-4917,37.67619149,127.05240359999999,2019-04-08,3100000,서울특별시 노원구
서울특별시 노원구청,서울특별시 노원구 동일로241가길35,서울특별시 노원구 상계동 1105-13,생활방범,1,200.0,고정,30.0,2015-12,02-2116-4917,37.67649925,127.053053,2019-04-08,3100000,서울특별시 노원구
서울특별시 노원구청,서울특별시 노원구 동일로237나길43-3,서울특별시 노원구 상계동 1105-66,생활방범,1,200.0,고정,30.0,2015-12,02-2116-4917,37.67566075,127.05310490000001,2019-04-08,3100000,서울특별시 노원구
서울특별시 노원구청,서울특별시 노원구 동일로241가길6,서울특별시 노원구 상계동 1113-57,생활방범,1,200.0,고정,30.0,2015-12,02-2116-4917,37.67654875,127.05451070000001,2019-04-08,3100000,서울특별시 노원구
서울특별시 노원구청,서울특별시 노원구 동일로237나길10,서울특별시 노원구 상계동 1049-42,생활방범,1,200.0,고정,30.0,2015-12,02-2116-4917,37.67422166,127.0535632,2019-04-08,3100000,서울특별시 노원구
서울특별시 노원구청,서울특별시 노원구 동일로237마길39,서울특별시 노원구 상계동 1095-8,생활방범,1,200.0,회전,30.0,2015-12,02-2116-4917,37.67517973,127.0516574,2019-04-08,3100000,서울특별시 노원구
