관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
서울특별시 강북구청,서울특별시 강북구 인수봉로 62길 8,서울특별시 강북구 인수동 391-334,어린이보호,1,420.0,,30.0,2019-02,02-901-7266,37.63896179,127.0139389,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 인수봉로 67길 11,서울특별시 강북구 인수동 521-16,생활방범,1,200.0,,30.0,2019-02,02-901-7266,37.64007568,127.0111008,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 인수봉로 67길 11,서울특별시 강북구 인수동 521-16,생활방범,1,200.0,,30.0,2019-02,02-901-7266,37.64007568,127.0111008,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 인수봉로 67길 11,서울특별시 강북구 인수동 521-16,생활방범,1,200.0,,30.0,2019-02,02-901-7266,37.64007568,127.0111008,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 인수봉로 67길 11,서울특별시 강북구 인수동 521-16,생활방범,1,420.0,,30.0,2019-02,02-901-7266,37.64006042,127.01101680000001,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 덕릉로 3길 24,서울특별시 강북구 인수동 455-1,생활방범,1,420.0,,30.0,2019-02,02-901-7266,37.63496017,127.01442720000001,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 인수봉로 61길 52,서울특별시 강북구 인수동 519-20,생활방범,1,200.0,,30.0,2019-02,02-901-7266,37.63767242,127.0109787,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 인수봉로 75길 60,서울특별시 강북구 인수동 535-252,생활방범,1,200.0,,30.0,2019-02,02-901-7266,37.64422226,127.00772859999998,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 인수봉로 75길 60,서울특별시 강북구 인수동 535-252,생활방범,1,420.0,,30.0,2019-02,02-901-7266,37.64426422,127.00765990000002,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 인수봉로 61길 52,서울특별시 강북구 인수동 519-20,생활방범,1,200.0,,30.0,2019-02,02-901-7266,37.63767242,127.0109787,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 인수봉로 79가길 52,서울특별시 강북구 인수동 535-39,어린이보호,1,200.0,,30.0,2019-02,02-901-7266,37.64385986,127.00661470000001,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 인수봉로 79가길 52,서울특별시 강북구 인수동 535-39,어린이보호,1,200.0,,30.0,2019-02,02-901-7266,37.64385986,127.00661470000001,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 인수봉로 79가길 52,서울특별시 강북구 인수동 535-39,어린이보호,1,200.0,,30.0,2019-02,02-901-7266,37.64385986,127.00661470000001,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 인수봉로 79가길 52,서울특별시 강북구 인수동 535-39,어린이보호,1,200.0,,30.0,2019-02,02-901-7266,37.64385986,127.00661470000001,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 인수봉로 79길 41,서울특별시 강북구 인수동 540-16,어린이보호,1,420.0,,30.0,2019-02,02-901-7266,37.64383316,127.0091019,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 인수봉로 79길 41,서울특별시 강북구 인수동 540-16,어린이보호,1,200.0,,30.0,2019-02,02-901-7266,37.6438179,127.00917820000001,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 인수봉로 79길 41,서울특별시 강북구 인수동 540-16,어린이보호,1,200.0,,30.0,2019-02,02-901-7266,37.6438179,127.00917820000001,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 인수봉로 79길 41,서울특별시 강북구 인수동 540-16,어린이보호,1,200.0,,30.0,2019-02,02-901-7266,37.6438179,127.00917820000001,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 인수봉로 72길 63-3,서울특별시 강북구 인수동 301-19,생활방범,1,420.0,,30.0,2019-02,02-901-7266,37.64345169,127.01437379999999,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 인수봉로 72길 63-3,서울특별시 강북구 인수동 301-19,생활방범,1,200.0,,30.0,2019-02,02-901-7266,37.64344406,127.01445009999999,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 인수봉로 72길 63-3,서울특별시 강북구 인수동 301-19,생활방범,1,200.0,,30.0,2019-02,02-901-7266,37.64344406,127.01445009999999,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 인수봉로 72길 63-3,서울특별시 강북구 인수동 301-19,생활방범,1,200.0,,30.0,2019-02,02-901-7266,37.64344406,127.01445009999999,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 삼양로 107길 22-1,서울특별시 강북구 인수동 347-3,어린이보호,1,420.0,,30.0,2019-02,02-901-7266,37.6414299,127.0155945,2020-05-12,3080000,서울특별시 강북구
서울특별시 강북구청,서울특별시 강북구 삼양로 107길 22-1,서울특별시 강북구 인수동 347-3,어린이보호,1,200.0,,30.0,2019-02,02-901-7266,37.64141846,127.0156784,2020-05-12,3080000,서울특별시 강북구
