기간	대분류	분류	경제적 여건	교육 환경	교통 여건	자녀육아 및 양육	거주안정성/주변치안	재테크 수단	공원 및 녹지여건	편익/위락시설	해당 지역의 이미지	기타
2016	서울시	서울시	49.6	6.9	14.4	3.8	11.1	1.5	1	1.2	7.4	3.1
2016	성별	남자	47	8	14.7	4.5	11.5	1.5	1.1	1.2	7.4	3
2016	성별	여자	58	3.2	13.3	1.5	9.9	1.3	0.8	1.2	7.2	3.6
2016	연령별	20대 이하	54.3	5.1	13.6	2.7	9.2	2	0.5	1.7	6.9	4
2016	연령별	30대	51.2	9.7	14.9	7.3	7.5	1.7	0.2	0.6	5.3	1.6
2016	연령별	40대	46.8	10.7	15.2	5.4	10.2	1.5	1.1	1.4	5.6	2.1
2016	연령별	50대	48.2	5.6	15.4	2.1	12.3	1.3	1.5	1.7	8.2	3.5
2016	연령별	60대 이상	50.4	2.6	12.4	1.2	14.9	1.2	1.5	0.8	10.2	4.6
2016	학력별	중졸 이하	53.3	2.2	11.8	1.1	14.6	1	1.7	0.9	9.1	4.1
2016	학력별	고졸 이하	49	6.4	14.3	2.9	12.3	1.2	1.1	1	8.1	3.5
2016	학력별	대졸 이하	49.4	7.8	14.9	4.6	10	1.7	0.9	1.2	6.8	2.8
2016	학력별	대학원 이상	45.5	7	14.3	6.3	13.8	0.8	1.6	3.7	5.1	1.8
2016	주택형태	단독주택	51.2	6.6	14.6	3.6	9.8	1.4	1	1.1	8	2.5
2016	주택형태	아파트	48.6	7.4	14	4	11.2	1.5	1.2	1.2	7.2	3.7
2016	주택형태	다세대주택	49.9	5	15.7	4.3	12.5	1.6	0.8	1	6.5	2.6
2016	주택형태	연립/기타	47.9	7.7	13.6	3.2	13.6	1.3	1	1.7	6.9	3
2016	입주형태	자가	47.9	6.4	14.8	3.6	11.6	1.5	1.3	1.2	8.3	3.3
2016	입주형태	전세	49	7.8	15.2	4.4	10.4	1.6	0.9	1.1	7	2.6
2016	입주형태	월세/기타	52.4	6.8	13.1	3.7	11.1	1.3	0.7	1.2	6.4	3.2
2016	가구원수	1인	53.7	5.5	14.3	2.9	10	1.6	1	0.9	7	3
2016	가구원수	2인	48.8	6.2	13	3.7	12.1	1.7	1.1	1.2	9	3.2
2016	가구원수	3인	48	7.9	14.5	4.7	10.7	1.2	1.3	1.2	7	3.5
2016	가구원수	4인	48.3	7.3	15.6	4.1	11.7	1.3	0.9	1.5	6.6	2.9
2016	가구원수	5인 이상	41.6	11.9	16.5	5	12.7	1.6	0.9	1.1	6.1	2.4
2016	소득	100 만원 미만	48.5	3.1	12	3.4	15.9	1.9	1.4	0.6	7	6.2
2016	소득	100-200만 미만	54	3.6	13.3	1.3	12.6	1.2	1.1	1.1	8.1	3.6
2016	소득	200-300만 미만	51.2	7.1	14.1	4.2	9.8	1.9	0.9	1.1	7.1	2.6
2016	소득	300-400만 미만	50.1	7.3	15	4.3	10.5	1.3	1.2	1.2	6.6	2.6
2016	소득	400-500만 미만	47.5	7.3	15.7	4.2	10.6	1.6	0.9	1.1	8	3.1
2016	소득	500만원 이상	48.4	7.7	13.8	4	11.7	1.4	1.1	1.4	7.4	3.3
2016	지역대분류	도심권	44.9	11.9	13.3	6.3	10.3	1.5	1.3	0.8	7.5	2.1
2016	지역대분류	동북권	51	7.4	13.5	4.2	9.6	1.4	1.1	1.3	6.7	3.8
2016	지역대분류	서북권	52.1	3.7	15.1	2.2	13	0.8	1.6	1.2	7.1	3.2
2016	지역대분류	서남권	50.8	5.5	15.4	3.7	11.5	1.4	0.9	0.9	7.3	2.5
2016	지역대분류	동남권	45.4	8.7	14	3.8	12	2.2	0.8	1.4	8.6	3
2016	종로구	종로구	47.3	12.4	11.5	7.3	8.9	1.2	1.8	0.8	8.6	0.2
2016	중구	중구	43.5	12.3	16.4	2.8	10.5	2.1	2.1	1.4	7.2	1.8
2016	용산구	용산구	44	11.4	12.9	7.7	11.2	1.4	0.4	0.5	6.9	3.6
2016	성동구	성동구	48.4	7.6	13.6	6.2	9.6	0.5	0.9	2.6	6.2	4.4
2016	광진구	광진구	57.4	6.6	12.7	3	8.7	0.7	0.9	0.4	7.5	2.1
2016	동대문구	동대문구	52.3	10.2	13.8	4.1	9.1	0.5	1.5	0.8	5.6	2.1
2016	중랑구	중랑구	52.7	8.8	13.6	4.3	8.1	1.3	1	0.7	6	3.5
2016	성북구	성북구	49.8	5.3	12	4.3	13.1	2.3	1.1	1.4	6.6	4.1
2016	강북구	강북구	53.7	7.6	13.6	2.3	7.7	2.3	1.5	0.4	6.2	4.7
2016	도봉구	도봉구	43.5	6.4	15.4	4.6	10.4	2.8	1	4.1	5.8	6
2016	노원구	노원구	49.7	7	13.7	4.8	9.2	0.8	1	0.9	8.6	4.2
2016	은평구	은평구	46.9	3.2	18	1.8	14.2	0.2	1.9	0.6	9.1	4
2016	서대문구	서대문구	57.3	3.2	14.8	1.8	13	0.5	0.9	0.7	6.3	1.6
2016	마포구	마포구	54.2	4.6	11.8	3	11.7	1.6	1.8	2.3	5.2	3.6
2016	양천구	양천구	55.6	4.2	14.6	1.6	14.2	0.5	1.6	0.6	4.6	2.4
2016	강서구	강서구	52.2	4.4	15.6	2.4	11.9	2	0.5	0.8	6	4
2016	구로구	구로구	51.6	4.3	15.7	5.8	9.9	1.6	0.8	1.6	6.2	2.5
2016	금천구	금천구	53.5	4	15.1	3.6	12	1.1	0.5	1.9	6	2.2
2016	영등포구	영등포구	49.1	6	15.2	2.4	11.9	1.2	0.8	1	9.9	2.5
2016	동작구	동작구	44.5	7.6	17.4	4.7	11.8	1.4	0.3	0.2	9.7	2.2
2016	관악구	관악구	49.6	7.2	14.6	4.8	9.9	1.6	1.2	0.8	8.6	1.6
2016	서초구	서초구	43.4	10	16.4	4	9.7	3.8	1.3	0.9	9.4	1.1
2016	강남구	강남구	43	11	13.5	2.5	14.9	2.5	0.3	0.9	9.2	2.2
2016	송파구	송파구	45	7	14.5	4.4	11.9	1.7	0.8	1.8	7.8	5.1
2016	강동구	강동구	51.2	7	11.6	4.5	10.4	0.8	1.1	2.2	8.2	3.1
