도서관명,구명,주소,위도,경도
한국연구원도서관,마포구,서울특별시 마포구 토정로31길 12 3층,37.54145858,126.9424756
한국영상자료원영상도서관,마포구,서울특별시 마포구 월드컵북로 400 한국영상자료원,37.58045097,126.8898931
한사랑문고,마포구,서울특별시 마포구 월드컵북로 173-1 한사랑교회 ,37.56738358,126.9091364
합정동문고,마포구,서울특별시 마포구 월드컵로5길 11 합정동주민센터 ,37.55161512,126.9117247
해오름문고,마포구,서울특별시 마포구 월드컵로42길 12,37.57820529,126.8833386
해오름작은도서관,마포구,서울특별시 마포구 신촌로26길 10 우리마포복지관 2층,37.56665973,127.1384372
DMC래미안e편한세상아파트1블럭작은도서관,서대문구,서울특별시 서대문구 수색로 100 1블럭 커뮤니티센터 ,37.57414641,126.9076539
남가좌1동파랑새작은도서관,서대문구,서울특별시 서대문구 모래내로 15길 37 2층 ,37.57327826,126.9197815
남가좌삼성래미안아파트푸른북카페,서대문구,서울특별시 서대문구 증가로 191 (삼성아파트) 푸른북카페,37.57806418,126.9160828
남가좌새롬어린이도서관,서대문구,서울특별시 서대문구 증가로10길 16-15,37.5783399,126.9240451
동북아역사재단동북아역사자료실,서대문구,서울특별시 서대문구 통일로 81,37.56221656,126.9691142
명지어린이영어도서관,서대문구,서울특별시 서대문구 가좌로 117 명지대학교교회 ,37.58217489,126.9251453
봉원교회샘뜰작은도서관,서대문구,서울특별시 서대문구 봉원사 2길 13 1층 봉원교회,37.56790334,126.946641
북가좌1동늘푸른열린작은도서관,서대문구,서울특별시 서대문구 수색로 100-55 북가좌1동주민센터 2층,37.57436841,126.9101365
북가좌2동가슴따뜻한작은도서관,서대문구,서울특별시 서대문구 응암로1길 10 북가좌2동주민센터 2층,37.58159264,126.911033
북가좌2동이팝꽃향기작은도서관,서대문구,서울특별시 서대문구 불광천길 204 ,37.58373848,126.9109474
북아현북카페,서대문구,서울특별시 서대문구 북아현로 24 북아현동주민센터 2층,37.55967614,126.9567951
북한산더샵아파트작은도서관,서대문구,서울특별시 서대문구 통일로 510 커뮤니티센터 ,37.59456867,126.9411671
새솔도서실,서대문구,서울특별시 서대문구 북아현로19길 58-21 이화여대종합사회복지관 1층 ,37.5638977,126.9506818
서대문구립이진아기념도서관,서대문구,서울특별시 서대문구 독립문공원길 80,37.57295407,126.9555492
서울특별시교육청서대문도서관,서대문구,서울특별시 서대문구 모래내로 412,37.58331954,126.9408583
세빛도서관,서대문구,서울특별시 서대문구 통일로 35길 18 2층 ,37.58640372,126.9454939
수화영상도서관,서대문구,서울특별시 서대문구 수색로 4가길 23 1층 ,37.57069457,126.9137991
어깨동무어린이도서관,서대문구,서울특별시 서대문구 거북골로 14길 32 DMC아이파크아파트 2층 458,37.57695677,126.9149689
연희동아이누리작은도서관,서대문구,서울특별시 서대문구 증가로 13-10 자치회관 연희동자치회관 2층,37.56936623,126.9308511
영광시각장애인모바일점자도서관,서대문구,서울특별시 서대문구 세검정로 78-19 2층,37.5597584,126.9547662
이화여자대학교박물관전문도서관,서대문구,서울특별시 서대문구 이화여대길 52 이화여자대학교 박물관 내,37.55955735,126.9448232
천연동하늘샘작은도서관,서대문구,서울특별시 서대문구 독립문로 27 서대문구보건소천연분소 ,37.56992171,126.9613536
천연뜨란채문고,서대문구,서울특별시 서대문구 독립문로8길 54 107동 관리동 ,37.56623615,126.9588387
충현동알음알음작은도서관,서대문구,서울특별시 서대문구 경기대로 40 2층 충현동자치회관 1층,37.56292966,126.9623734
하늘샘어린이도서관,서대문구,서울특별시 서대문구 가좌로 154 서부제일교회,37.58571423,126.923177
하뜰안도서관,서대문구,서울특별시 서대문구 가재울로 13 성은교회 1층,37.57369345,126.9221953
햇살작은도서관,서대문구,서울특별시 서대문구 세검정로1길 45 홍은1동자치회관,37.55044679,127.1398729
행복작은도서관,서대문구,서울특별시 서대문구 모래내로 334 홍은2동주민센터 구청제4별관 3층,37.66871632,127.0471316
홍은2동논골작은도서관,서대문구,서울특별시 서대문구 연희로41가길 33 청년미래공동체주택 101동 102호 B01호,37.591278,126.9330955
홍은도담도서관,서대문구,서울특별시 서대문구 홍은중앙로 129,37.60177311,126.9489548
홍제1동새싹작은도서관,서대문구,서울특별시 서대문구 통일로27길 19 2층,37.58316354,126.9484117
홍제2동꿈이있는작은도서관,서대문구,서울특별시 서대문구 통일로34길 27 2층,37.58610187,126.9493669
홍제3동문화촌어린이작은도서관,서대문구,서울특별시 서대문구 세검정로4길 32 홍제3동주민센터 2층,37.59376361,126.9496893
홍제천작은도서관,서대문구,서울특별시 서대문구 통일로 510 북한산더샵상가 지하1층 214호 ,37.59456867,126.9411671
IT로 열린도서관,서초구,서울특별시 서초구 방배로 36 이삭빌딩 301호,37.4780757,126.9979581
KOTRA무역자료실,서초구,서울특별시 서초구 헌릉로 13 KOTRA 본사 3층,37.46550983,127.0449169
LH서초3단지행복도서관,서초구,서울특별시 서초구 양재대로 2길 34 우면동 LH서초 3단지 아파트 ,37.46902625,127.025174
LH서초4단지작은도서관,서초구,서울특별시 서초구 양재대로2길 33 우면동 LH서초 4단지 아파트 ,37.4687542,127.0252853
LH서초5단지작은도서관,서초구,서울특별시 서초구 양재대로2길 11 LH서초5단지 작은도서관,37.45912974,127.0255375
국립국악원국악자료실,서초구,서울특별시 서초구 남부순환로 2364 국립국악원 국악박물관 306호,37.4777238,127.0098213
국립외교원도서관,서초구,서울특별시 서초구 남부순환로 2572,37.48376281,127.0311821
국립중앙도서관,서초구,서울특별시 서초구 반포대로 201,37.49742252,127.0032279
그림책도서관,서초구,서울특별시 서초구 명달로 150,37.49060375,127.0050971
꿈 익는 작은도서관,서초구,서울특별시 서초구 남부순환로 2271-5 소비코빌딩 B2F,37.474779,126.9979741
내곡도서관,서초구,서울특별시 서초구 청계산로7길 9-20,37.45200429,127.054445
너나울도서관,서초구,서울특별시 서초구 양재대로 2길 90 엘에이치스타힐스 서초힐스아파트,37.45657632,127.0168318
네이처힐1단지 작은도서관,서초구,서울특별시 서초구 형촌길 35 (우면동 서초네이처힐1단지) 주민공동시설,37.4635256,127.0177444
네이처힐3단지작은도서관(꿈찾는도서관),서초구,서울특별시 서초구 태봉로2길 60 서초네이처힐 3단지 305동 1층,37.4652302,127.0267824
네이처힐4단지작은도서관,서초구,서울특별시 서초구 태봉로 2길 5 서초네이처힐4단지 404동 1층 ,37.46221937,127.0250289
네이처힐5단지작은도서관,서초구,서울특별시 서초구 태봉로2길 65 서초네이처힐 508동 1층,37.46352125,127.026003
네이처힐6단지작은도서관,서초구,서울특별시 서초구 태봉로 2길 30 서초네이처힐6단지 아파트 ,37.46156886,127.0271857
네이처힐가든작은도서관,서초구,서울특별시 서초구 형촌길 60 네이처힐가든 아파트,37.46470639,127.0206695
대검찰청검찰중앙도서실,서초구,서울특별시 서초구 반포대로 157 대검찰청 본관 4층,37.49414154,127.006164
대한민국예술원도서실,서초구,서울특별시 서초구 반포대로37길 59,37.4955987,127.0024962
대한민국학술원도서실,서초구,서울특별시 서초구 반포대로37길 59 3층,37.4955987,127.0024962
리본SH작은도서관,서초구,서울특별시 서초구 바우뫼로 18길 20 양재리본타워1단지 아파트 ,37.47288503,127.0321457
리본숲SH작은도서관,서초구,서울특별시 서초구 양재동 매헌로 16길 40 양재리본타워2단지 관리동2층,37.46493167,127.0361714
반포1동작은도서관,서초구,서울특별시 서초구 사평대로 273(반포동) 반포1동 주민센터 3층,37.50509422,127.0133771
반포2동작은도서관,서초구,서울특별시 서초구 신반포로15길 16 반포2동주민센터 2층,37.5045884,126.9944728
반포3동작은도서관,서초구,서울특별시 서초구 신반포로23길 78 반포3동주민센터 4층,37.51155606,127.0057176
반포4동작은도서관,서초구,서울특별시 서초구 사평대로28길 70 반포4동주민센터 4층,37.49748465,127.0003278
반포도서관,서초구,서울특별시 서초구 고무래로 34,37.50248627,127.0125127
반포본동작은도서관,서초구,서울특별시 서초구 신반포로 10 반포본동주민센터 2층,37.50048144,126.9860918
방배1동작은도서관,서초구,서울특별시 서초구 효령로29길 43 방배1동주민센터 2층,37.48336375,126.9945155
방배2동작은도서관,서초구,서울특별시 서초구 청두곶길 36 방배2동주민센터 2층,37.47976922,126.9855579
방배4동작은도서관,서초구,서울특별시 서초구 방배로 173 방배4동주민센터 3층,37.48900788,126.9922427
방배도서관,서초구,서울특별시 서초구 방배로 40,37.4784386,126.9999959
방배본동작은도서관,서초구,서울특별시 서초구 동광로 19길 38 방배본동주민센터 2층,37.494149,126.9888474
삼성경제연구소도서자료실,서초구,서울특별시 서초구 서초대로74길 4 삼성생명 서초타워 30층,37.49674424,127.0257033
서울시교육연수원교육정보자료실,서초구,서울특별시 서초구 남부순환로 2248,37.47088376,126.9972586
