년,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,인허가일자,사업장명,지번주소,도로명주소,위도,경도
2017,영업중,0,0,0,19601124,서울특별시서북병원,서울특별시 은평구 역촌동 산 31-1,서울특별시 은평구 갈현로7길 49-1,37.60429703051229,126.903688082201
2017,영업중,0,0,0,19610515,가톨릭대학교 은평성모병원,서울특별시 은평구 진관동 55,서울특별시 은평구 진관3로 15-35,37.642175177538796,126.91837482389
2017,영업중,0,0,0,19620201,국립정신건강센터,서울특별시 광진구 중곡동 30-1,서울특별시 광진구 용마산로 127,37.56500388439871,127.08576687968399
2017,영업중,0,0,0,19660107,삼육서울병원,서울특별시 동대문구 휘경동 283-1,서울특별시 동대문구 망우로 82,37.5897257792017,127.06254244
2017,영업중,0,0,0,19660107,청량리정신병원,서울특별시 동대문구 청량리동 46-3,서울특별시 동대문구 제기로 144,37.58606976136579,127.049087534482
2017,영업중,0,0,0,19660505,서울특별시은평병원,서울특별시 은평구 응암동 232-3,서울특별시 은평구 백련산로 90,37.5942055626175,126.92376280960899
2017,영업중,0,0,0,19710220,경찰병원,서울특별시 송파구 가락동 58,서울특별시 송파구 송이로 123,37.496414660286796,127.123487460986
2017,영업중,0,0,0,19710821,경희대학교한방병원,서울특별시 동대문구 회기동 1-5,서울특별시 동대문구 경희대로 23,37.5937735558095,127.050740191556
2017,영업중,0,0,0,19711005,경희대학교치과병원,서울특별시 동대문구 회기동 1-1,서울특별시 동대문구 회기로25길 31,37.5920638866877,127.055454616908
2017,영업중,0,0,0,19711005,경희대학교병원,서울특별시 동대문구 회기동 1-5,서울특별시 동대문구 경희대로3길 56,37.596703216714296,127.051368703569
2017,영업중,0,0,0,19720424,한양대학교병원,서울특별시 성동구 사근동 110,서울특별시 성동구 왕십리로 220,37.557641848773706,127.047258377719
2017,영업중,0,0,0,19740325,학교법인연세대학교의과대학세브란스병원,서울특별시 서대문구 신촌동 134,서울특별시 서대문구 연세로 50-1,37.5630129092834,126.94172131018298
2017,영업중,0,0,0,19740328,의료법인한전의료재단 한일병원,서울특별시 도봉구 쌍문동 388-1,서울특별시 도봉구 우이천로 308,37.64538851734471,127.029540470363
2017,영업중,0,0,0,19740401,학교법인연세대학교치과대학치과병원,서울특별시 서대문구 신촌동 134,서울특별시 서대문구 연세로 50-1,37.5646889031355,126.939471665917
2017,영업중,0,0,0,19740924,대림성모병원,서울특별시 영등포구 대림동 962-4,서울특별시 영등포구 시흥대로 659,37.4908743072075,126.90758228109199
