X谅钎,Y谅钎,磊摹备,锅掳,1牢 啊备 痢荐,2牢 啊备 痢荐,4牢 啊备 痢荐
127.010591132532,37.58025377376849,己合备,3191,25.0,26.0,27
127.010295905029,37.580266184649204,己合备,3191,25.0,26.0,27
127.01003587428998,37.580277466024704,己合备,3191,25.0,26.0,27
127.01003197993,37.580278033927,己合备,3191,25.0,26.0,27
127.009438167805,37.58035663225721,己合备,3191,25.0,26.0,27
127.009277909771,37.5803780323155,己合备,3191,25.0,26.0,27
127.009268705903,37.5803791681628,己合备,3191,25.0,26.0,27
127.009237924409,37.5803825488784,己合备,3191,25.0,26.0,27
127.00916523299699,37.5803907165455,己合备,3191,25.0,26.0,27
127.00913781377899,37.58039352939571,己合备,3191,25.0,26.0,27
127.00890785296998,37.5804242316086,己合备,3191,25.0,26.0,27
127.00876564011101,37.5804431070786,己合备,3191,25.0,26.0,27
127.008712749054,37.5804511651316,己合备,3191,25.0,26.0,27
127.00864326221901,37.5804682520471,己合备,3191,25.0,26.0,27
127.00858204194901,37.5806289466457,己合备,3191,25.0,26.0,27
127.008577389635,37.580635713331496,己合备,3191,25.0,26.0,27
127.00856188191,37.580658229906795,己合备,3191,25.0,26.0,27
127.00852915589898,37.580692018842896,己合备,3191,25.0,26.0,27
127.00850248657301,37.5807252127606,己合备,3191,25.0,26.0,27
127.00849590979799,37.5807334121252,己合备,3191,25.0,26.0,27
127.00848423961,37.5807531173857,己合备,3191,25.0,26.0,27
127.00846347886002,37.5807756973265,己合备,3191,25.0,26.0,27
127.008441789863,37.5807992954324,己合备,3191,25.0,26.0,27
127.00832718738998,37.58105693012449,己合备,3191,25.0,26.0,27
127.00824015490801,37.5811045252074,己合备,3191,25.0,26.0,27
127.008085708203,37.581188956313795,己合备,3191,25.0,26.0,27
127.008047523825,37.5812098342835,己合备,3191,25.0,26.0,27
127.00800879591002,37.5812295499984,己合备,3191,25.0,26.0,27
127.007979612772,37.5812616447299,己合备,3191,25.0,26.0,27
127.00796138758899,37.581283323455295,己合备,3191,25.0,26.0,27
127.00790567156,37.5813616041685,己合备,3191,25.0,26.0,27
127.007805207467,37.5814953519581,己合备,3191,25.0,26.0,27
127.007800430778,37.5815054792976,己合备,3191,25.0,26.0,27
127.007656000431,37.581570682256896,己合备,3191,25.0,26.0,27
127.007575260611,37.5816071403286,己合备,3191,25.0,26.0,27
127.007503441723,37.5816423365122,己合备,3191,25.0,26.0,27
127.007479385033,37.5816533207511,己合备,3191,25.0,26.0,27
127.00745002081,37.5816910465222,己合备,3191,25.0,26.0,27
127.00741818866399,37.5817304662632,己合备,3191,25.0,26.0,27
127.00732443680799,37.5818656188381,己合备,3191,25.0,26.0,27
127.007193183163,37.581929180783604,己合备,3116,383.5,385.5,202
127.007020902509,37.58201261124629,己合备,3116,383.5,385.5,202
127.006999145826,37.5820506248638,己合备,3116,383.5,385.5,202
127.00699135838,37.5820723029516,己合备,3116,383.5,385.5,202
127.006977944336,37.582095098522004,己合备,3116,383.5,385.5,202
127.00696483591999,37.5821173534849,己合备,3116,383.5,385.5,202
127.00692857871,37.5821843614902,己合备,3116,383.5,385.5,202
127.00690947127701,37.582224627434,己合备,3117,287.5,289.5,160
127.006890011143,37.582240963199204,己合备,3117,287.5,289.5,160
127.00688096579901,37.5822461532904,己合备,3117,287.5,289.5,160
127.006859592062,37.582258416680105,己合备,3117,287.5,289.5,160
127.00675310936899,37.5823364108064,己合备,3117,287.5,289.5,160
127.006758238516,37.582344861828496,己合备,3117,287.5,289.5,160
127.006775471318,37.5823699355056,己合备,3117,287.5,289.5,160
127.006785129391,37.5823839904583,己合备,3117,287.5,289.5,160
127.00701670800301,37.5827058031156,己合备,3117,287.5,289.5,160
127.00708712295099,37.582804628973896,己合备,3117,287.5,289.5,160
127.007104276509,37.5828268735087,己合备,3117,287.5,289.5,160
127.007128552283,37.582863146055004,己合备,3117,287.5,289.5,160
127.007133296478,37.582870227579605,己合备,3117,287.5,289.5,160
127.007155409727,37.5829042928072,己合备,3117,287.5,289.5,160
127.007260149028,37.58311743401779,己合备,3117,287.5,289.5,160
127.00726015268101,37.583165015087,己合备,3117,287.5,289.5,160
127.00726563576201,37.5832106227301,己合备,3117,287.5,289.5,160
127.007268425954,37.5832771604075,己合备,3117,287.5,289.5,160
127.007270773799,37.5833331025109,己合备,3117,287.5,289.5,160
127.007237697243,37.5833953352168,己合备,3117,287.5,289.5,160
127.007194896183,37.58346684853571,己合备,3117,287.5,289.5,160
127.007147035594,37.5837055129844,己合备,3117,287.5,289.5,160
127.007069704273,37.584091066515,己合备,3117,287.5,289.5,160
127.007010450639,37.5842929441679,己合备,3117,287.5,289.5,160
127.006889304948,37.5847034658864,己合备,3117,287.5,289.5,160
127.006889509793,37.584875770386894,己合备,3117,287.5,289.5,160
127.00690163050699,37.5852805556711,己合备,3117,287.5,289.5,160
127.00665515427,37.5854226340664,己合备,3117,287.5,289.5,160
127.006552994659,37.5855433705393,己合备,3117,287.5,289.5,160
127.006550888972,37.585545857349295,己合备,3117,287.5,289.5,160
127.00664119841299,37.585975290220105,己合备,3117,287.5,289.5,160
127.006626059986,37.586124998631504,己合备,3117,287.5,289.5,160
127.006018843205,37.5868544071079,己合备,3118,167.0,168.0,94
127.005982366156,37.5868950068948,己合备,3118,167.0,168.0,94
127.00586630878401,37.5869720184469,己合备,3118,167.0,168.0,94
127.00549683832199,37.5869876815895,己合备,3118,167.0,168.0,94
127.00511730182698,37.5869908021663,己合备,3118,167.0,168.0,94
127.00483675591002,37.5870437072349,己合备,3118,167.0,168.0,94
127.004787913438,37.587060737220796,己合备,3118,167.0,168.0,94
127.004251593215,37.5871765905398,己合备,3118,167.0,168.0,94
127.004127179151,37.5876127603485,己合备,3118,167.0,168.0,94
127.00411835976801,37.587628329568794,己合备,3118,167.0,168.0,94
127.00407103519899,37.5876830294176,己合备,3118,167.0,168.0,94
127.004048323334,37.587692255995606,己合备,3118,167.0,168.0,94
127.00403154440001,37.587705708064,己合备,3118,167.0,168.0,94
127.004023687174,37.587715556,己合备,3118,167.0,168.0,94
127.00408093247,37.587733691605294,己合备,3118,167.0,168.0,94
127.00400221201099,37.5878032313299,己合备,3118,167.0,168.0,94
127.003910852188,37.5877571748492,己合备,3118,167.0,168.0,94
